,ATHLETE_NAME,ATHLETE_COUNTRY,ATHLETE_DISCIPLINE,COACH_NAME,COACH_COUNTRY,COACH_DISCIPLINE,COACH_EVENT,FEMALE_ENTRIES,MALE_ENTRIES,TOTAL_ENTRIES,TEAM_COUNTRY,GOLD_MEDALS,SILVER_MEDALS,BRONZE_MEDALS,TOTAL_MEDALS,RANK_BY_TOTAL
11630,REED Janie,United States of America,Baseball/Softball,FLOWERS Tairia,United States of America,Baseball/Softball,Softball,90,144,234,United States of America,39.0,41.0,33.0,113.0,1.0
11631,REED Janie,United States of America,Baseball/Softball,TARR Heather,United States of America,Baseball/Softball,Softball,90,144,234,United States of America,39.0,41.0,33.0,113.0,1.0
11632,REED Janie,United States of America,Baseball/Softball,WEINSTEIN Jerry,United States of America,Baseball/Softball,Baseball,90,144,234,United States of America,39.0,41.0,33.0,113.0,1.0
11633,REEKIE Jemma,Great Britain,Athletics,,,,,969,1072,2041,Great Britain,22.0,21.0,22.0,65.0,4.0
11634,REESE Brittney,United States of America,Athletics,,,,,969,1072,2041,United States of America,39.0,41.0,33.0,113.0,1.0
11635,REGAL Caitlin,New Zealand,Canoe Sprint,,,,,123,126,249,New Zealand,7.0,6.0,7.0,20.0,13.0
11636,REGINI-MORAN Giarnni,Great Britain,Artistic Gymnastics,,,,,98,98,196,Great Britain,22.0,21.0,22.0,65.0,4.0
11637,REGULA Lauren,Canada,Baseball/Softball,ALAMEDA Lonni,Canada,Baseball/Softball,Softball,90,144,234,Canada,7.0,6.0,11.0,24.0,11.0
11638,REGULA Lauren,Canada,Baseball/Softball,BASILIO Mel,Canada,Baseball/Softball,Softball,90,144,234,Canada,7.0,6.0,11.0,24.0,11.0
11639,REGULA Lauren,Canada,Baseball/Softball,JONES Chris,Canada,Baseball/Softball,Softball,90,144,234,Canada,7.0,6.0,11.0,24.0,11.0
11640,REGULA Lauren,Canada,Baseball/Softball,SMITH Mark,Canada,Baseball/Softball,Softball,90,144,234,Canada,7.0,6.0,11.0,24.0,11.0
11641,REHAK STEFECEKOVA Zuzana,Slovakia,Shooting,,,,,178,178,356,Slovakia,1.0,2.0,1.0,4.0,47.0
11642,REICHMUTH Stefan,Switzerland,Wrestling,,,,,96,193,289,Switzerland,3.0,4.0,6.0,13.0,20.0
11643,REID Grace,Great Britain,Diving,,,,,72,71,143,Great Britain,22.0,21.0,22.0,65.0,4.0
11644,REID Katie,Great Britain,Canoe Sprint,,,,,123,126,249,Great Britain,22.0,21.0,22.0,65.0,4.0
11645,REID Leon,Ireland,Athletics,,,,,969,1072,2041,Ireland,2.0,0.0,2.0,4.0,47.0
11646,REID Melissa,Great Britain,Golf,,,,,60,60,120,Great Britain,22.0,21.0,22.0,65.0,4.0
11647,REID Tayler,New Zealand,Triathlon,,,,,55,55,110,New Zealand,7.0,6.0,7.0,20.0,13.0
11648,REID Zac,New Zealand,Swimming,,,,,361,418,779,New Zealand,7.0,6.0,7.0,20.0,13.0
11649,REINHARDT Theo,Germany,Cycling Track,,,,,90,99,189,Germany,10.0,11.0,16.0,37.0,8.0
11650,REINIER,Brazil,Football,JARDINE Andre,Brazil,Football,Men,264,344,608,Brazil,7.0,6.0,8.0,21.0,12.0
11651,REINIER,Brazil,Football,SUNDHAGE Pia Mariane,Brazil,Football,Women,264,344,608,Brazil,7.0,6.0,8.0,21.0,12.0
