,ATHLETE_NAME,ATHLETE_COUNTRY,ATHLETE_DISCIPLINE,COACH_NAME,COACH_COUNTRY,COACH_DISCIPLINE,COACH_EVENT,FEMALE_ENTRIES,MALE_ENTRIES,TOTAL_ENTRIES,TEAM_COUNTRY,GOLD_MEDALS,SILVER_MEDALS,BRONZE_MEDALS,TOTAL_MEDALS,RANK_BY_TOTAL
0,AALERUD Katrine,Norway,Cycling Road,,,,,70,131,201,Norway,4.0,2.0,2.0,8.0,29.0
1,ABAD Nestor,Spain,Artistic Gymnastics,,,,,98,98,196,Spain,3.0,8.0,6.0,17.0,17.0
2,ABAGNALE Giovanni,Italy,Rowing,,,,,257,265,522,Italy,10.0,10.0,20.0,40.0,7.0
3,ABALDE Alberto,Spain,Basketball,ALLER CARBALLO Manuel Angel,Spain,Basketball,,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
4,ABALDE Alberto,Spain,Basketball,DIAZ FERNANDEZ Jenaro Manuel,Spain,Basketball,,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
5,ABALDE Alberto,Spain,Basketball,GONZALEZ JARENO Angel,Spain,Basketball,,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
6,ABALDE Alberto,Spain,Basketball,HERNANDEZ FRAILE Jose Ignacio,Spain,Basketball,,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
7,ABALDE Alberto,Spain,Basketball,LAZARO CORRAL Jesus,Spain,Basketball,,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
8,ABALDE Alberto,Spain,Basketball,MIRET GARCIA Daniel,Spain,Basketball,,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
9,ABALDE Alberto,Spain,Basketball,MONDELO GARCIA Lucas,Spain,Basketball,Women,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
10,ABALDE Alberto,Spain,Basketball,PRADO BRANAS Joaquin,Spain,Basketball,,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
11,ABALDE Alberto,Spain,Basketball,SCARIOLO Sergio,Spain,Basketball,Men,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
12,ABALDE Alberto,Spain,Basketball,ZAMORA PEDREIRA Javier,Spain,Basketball,,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
13,ABALDE Tamara,Spain,Basketball,ALLER CARBALLO Manuel Angel,Spain,Basketball,,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
14,ABALDE Tamara,Spain,Basketball,DIAZ FERNANDEZ Jenaro Manuel,Spain,Basketball,,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
15,ABALDE Tamara,Spain,Basketball,GONZALEZ JARENO Angel,Spain,Basketball,,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
16,ABALDE Tamara,Spain,Basketball,HERNANDEZ FRAILE Jose Ignacio,Spain,Basketball,,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
17,ABALDE Tamara,Spain,Basketball,LAZARO CORRAL Jesus,Spain,Basketball,,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
18,ABALDE Tamara,Spain,Basketball,MIRET GARCIA Daniel,Spain,Basketball,,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
19,ABALDE Tamara,Spain,Basketball,MONDELO GARCIA Lucas,Spain,Basketball,Women,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
20,ABALDE Tamara,Spain,Basketball,PRADO BRANAS Joaquin,Spain,Basketball,,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
21,ABALDE Tamara,Spain,Basketball,SCARIOLO Sergio,Spain,Basketball,Men,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
22,ABALDE Tamara,Spain,Basketball,ZAMORA PEDREIRA Javier,Spain,Basketball,,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
23,ABALO Luc,France,Handball,GILLE Guillaume,France,Handball,Men,168,168,336,France,10.0,12.0,11.0,33.0,10.0
24,ABALO Luc,France,Handball,KRUMBHOLZ Olivier,France,Handball,Women,168,168,336,France,10.0,12.0,11.0,33.0,10.0
25,ABAROA Cesar,Chile,Rowing,,,,,257,265,522,,,,,,
26,ABASS Abobakr,Sudan,Swimming,,,,,361,418,779,,,,,,
27,ABBASALI Hamideh,Islamic Republic of Iran,Karate,,,,,40,42,82,Islamic Republic of Iran,3.0,2.0,2.0,7.0,33.0
28,ABBASOV Islam,Azerbaijan,Wrestling,,,,,96,193,289,Azerbaijan,0.0,3.0,4.0,7.0,33.0
29,ABBINGH Lois,Netherlands,Handball,KLARENBEEK Auke,Netherlands,Handball,,168,168,336,Netherlands,10.0,12.0,14.0,36.0,9.0
30,ABBINGH Lois,Netherlands,Handball,MAYONNADE Emmanuel,Netherlands,Handball,Women,168,168,336,Netherlands,10.0,12.0,14.0,36.0,9.0
31,ABBOT Emily,Australia,Rhythmic Gymnastics,,,,,96,0,96,Australia,17.0,7.0,22.0,46.0,6.0
32,ABBOTT Monica,United States of America,Baseball/Softball,BERG Laura,United States of America,Baseball/Softball,Softball,90,144,234,United States of America,39.0,41.0,33.0,113.0,1.0
33,ABBOTT Monica,United States of America,Baseball/Softball,DOBSON Howard,United States of America,Baseball/Softball,Softball,90,144,234,United States of America,39.0,41.0,33.0,113.0,1.0
34,ABBOTT Monica,United States of America,Baseball/Softball,ERIKSEN Ken,United States of America,Baseball/Softball,Softball,90,144,234,United States of America,39.0,41.0,33.0,113.0,1.0
35,ABBOTT Monica,United States of America,Baseball/Softball,FLOWERS Tairia,United States of America,Baseball/Softball,Softball,90,144,234,United States of America,39.0,41.0,33.0,113.0,1.0
36,ABBOTT Monica,United States of America,Baseball/Softball,TARR Heather,United States of America,Baseball/Softball,Softball,90,144,234,United States of America,39.0,41.0,33.0,113.0,1.0
37,ABBOTT Monica,United States of America,Baseball/Softball,WEINSTEIN Jerry,United States of America,Baseball/Softball,Baseball,90,144,234,United States of America,39.0,41.0,33.0,113.0,1.0
38,ABDALLA Abubaker Haydar,Qatar,Athletics,,,,,969,1072,2041,Qatar,2.0,0.0,1.0,3.0,60.0
39,ABDALLA Maryam,Egypt,Artistic Swimming,CHEPAK Anastasiya,Egypt,Artistic Swimming,Duet,105,0,105,Egypt,1.0,1.0,4.0,6.0,39.0
40,ABDALLA Maryam,Egypt,Artistic Swimming,CHEPAK Anastasiya,Egypt,Artistic Swimming,Team,105,0,105,Egypt,1.0,1.0,4.0,6.0,39.0
41,ABDALLA Maryam,Egypt,Artistic Swimming,ELAFANDI Nour,Egypt,Artistic Swimming,Duet,105,0,105,Egypt,1.0,1.0,4.0,6.0,39.0
42,ABDALLA Maryam,Egypt,Artistic Swimming,ELAFANDI Nour,Egypt,Artistic Swimming,Team,105,0,105,Egypt,1.0,1.0,4.0,6.0,39.0
43,ABDALLA Maryam,Egypt,Artistic Swimming,FAHMY LATIF Yasmine,Egypt,Artistic Swimming,,105,0,105,Egypt,1.0,1.0,4.0,6.0,39.0
44,ABDALLA Maryam,Egypt,Artistic Swimming,MOHAMED Mai,Egypt,Artistic Swimming,,105,0,105,Egypt,1.0,1.0,4.0,6.0,39.0
45,ABDALLAH Shahd,Egypt,Artistic Swimming,CHEPAK Anastasiya,Egypt,Artistic Swimming,Duet,105,0,105,Egypt,1.0,1.0,4.0,6.0,39.0
46,ABDALLAH Shahd,Egypt,Artistic Swimming,CHEPAK Anastasiya,Egypt,Artistic Swimming,Team,105,0,105,Egypt,1.0,1.0,4.0,6.0,39.0
47,ABDALLAH Shahd,Egypt,Artistic Swimming,ELAFANDI Nour,Egypt,Artistic Swimming,Duet,105,0,105,Egypt,1.0,1.0,4.0,6.0,39.0
48,ABDALLAH Shahd,Egypt,Artistic Swimming,ELAFANDI Nour,Egypt,Artistic Swimming,Team,105,0,105,Egypt,1.0,1.0,4.0,6.0,39.0
49,ABDALLAH Shahd,Egypt,Artistic Swimming,FAHMY LATIF Yasmine,Egypt,Artistic Swimming,,105,0,105,Egypt,1.0,1.0,4.0,6.0,39.0
50,ABDALLAH Shahd,Egypt,Artistic Swimming,MOHAMED Mai,Egypt,Artistic Swimming,,105,0,105,Egypt,1.0,1.0,4.0,6.0,39.0
51,ABDALRASOOL Mohamed,Sudan,Judo,,,,,192,201,393,,,,,,
52,ABDEL LATIF Radwa,Egypt,Shooting,,,,,178,178,356,Egypt,1.0,1.0,4.0,6.0,39.0
53,ABDEL RAZEK Samy,Egypt,Shooting,,,,,178,178,356,Egypt,1.0,1.0,4.0,6.0,39.0
54,ABDELAZIZ Abdalla,Egypt,Karate,,,,,40,42,82,Egypt,1.0,1.0,4.0,6.0,39.0
55,ABDELAZIZ Farah,Egypt,Table Tennis,,,,,86,86,172,Egypt,1.0,1.0,4.0,6.0,39.0
56,ABDELAZIZ Feryal,Egypt,Karate,,,,,40,42,82,Egypt,1.0,1.0,4.0,6.0,39.0
57,ABDELMAWGOUD Mohamed,Egypt,Judo,,,,,192,201,393,Egypt,1.0,1.0,4.0,6.0,39.0
58,ABDELMOTTALEB Diaaeldin Kamal Gouda,Egypt,Wrestling,,,,,96,193,289,Egypt,1.0,1.0,4.0,6.0,39.0
59,ABDELRAHMAN Ihab,Egypt,Athletics,,,,,969,1072,2041,Egypt,1.0,1.0,4.0,6.0,39.0
60,ABDELSALAM Mohamed,Egypt,Football,ABDELMAGID Wael,Egypt,Football,,264,344,608,Egypt,1.0,1.0,4.0,6.0,39.0
61,ABDELSALAM Mohamed,Egypt,Football,ALY Kamal,Egypt,Football,,264,344,608,Egypt,1.0,1.0,4.0,6.0,39.0
62,ABDELSALAM Mohamed,Egypt,Football,SALAM Mohamed,Egypt,Football,,264,344,608,Egypt,1.0,1.0,4.0,6.0,39.0
63,ABDELSALAM Mohamed,Egypt,Football,SHAWKY Gharib,Egypt,Football,Men,264,344,608,Egypt,1.0,1.0,4.0,6.0,39.0
64,ABDELSALAM Mohamed,Egypt,Football,SIAM Zaghloul,Egypt,Football,,264,344,608,Egypt,1.0,1.0,4.0,6.0,39.0
65,ABDELSALAM Nour,Egypt,Taekwondo,,,,,65,65,130,Egypt,1.0,1.0,4.0,6.0,39.0
66,ABDELWAHED Ahmed,Italy,Athletics,,,,,969,1072,2041,Italy,10.0,10.0,20.0,40.0,7.0
67,ABDI Bashir,Belgium,Athletics,,,,,969,1072,2041,Belgium,3.0,1.0,3.0,7.0,33.0
68,ABDIRAHMAN Abdi,United States of America,Athletics,,,,,969,1072,2041,United States of America,39.0,41.0,33.0,113.0,1.0
69,ABDUL HADI Farah Ann,Malaysia,Artistic Gymnastics,,,,,98,98,196,Malaysia,0.0,1.0,1.0,2.0,66.0
70,ABDUL RAHMAN Kiria Tikanah,Singapore,Fencing,,,,,107,108,215,,,,,,
71,ABDUL RAZZAQ Fathimath Nabaaha,Maldives,Badminton,,,,,86,87,173,,,,,,
72,ABDULHAMID Saud,Saudi Arabia,Football,ALSHEHRI Saad,Saudi Arabia,Football,Men,264,344,608,Saudi Arabia,0.0,1.0,0.0,1.0,77.0
73,ABDULHAMID Saud,Saudi Arabia,Football,MOHAMED Sayeda,Saudi Arabia,Football,,264,344,608,Saudi Arabia,0.0,1.0,0.0,1.0,77.0
74,ABDULJABBAR Ammar Riad,Germany,Boxing,,,,,102,187,289,Germany,10.0,11.0,16.0,37.0,8.0
75,ABDULLAEV Gulomjon,Uzbekistan,Wrestling,,,,,96,193,289,Uzbekistan,3.0,0.0,2.0,5.0,42.0
76,ABDULLAEV Muminjon,Uzbekistan,Wrestling,,,,,96,193,289,Uzbekistan,3.0,0.0,2.0,5.0,42.0
77,ABDULLAH Rahmat Erwin,Indonesia,Weightlifting,,,,,98,99,197,Indonesia,1.0,1.0,3.0,5.0,42.0
78,ABDULLIN Ilfat,Kazakhstan,Archery,,,,,64,64,128,Kazakhstan,0.0,0.0,8.0,8.0,29.0
79,ABDULREDHA Mohamed,Bahrain,Handball,KRIST JANSSON Aron,Bahrain,Handball,Men,168,168,336,Bahrain,0.0,1.0,0.0,1.0,77.0
80,ABDURAIMOV Elnur,Uzbekistan,Boxing,,,,,102,187,289,Uzbekistan,3.0,0.0,2.0,5.0,42.0
81,ABDURAKHIMOV Rasuljon,Uzbekistan,Artistic Gymnastics,,,,,98,98,196,Uzbekistan,3.0,0.0,2.0,5.0,42.0
82,ABDURAKHMONOV Bekzod,Uzbekistan,Wrestling,,,,,96,193,289,Uzbekistan,3.0,0.0,2.0,5.0,42.0
83,ABE Hifumi,Japan,Judo,,,,,192,201,393,Japan,27.0,14.0,17.0,58.0,5.0
84,ABE Takatoshi,Japan,Athletics,,,,,969,1072,2041,Japan,27.0,14.0,17.0,58.0,5.0
85,ABE Uta,Japan,Judo,,,,,192,201,393,Japan,27.0,14.0,17.0,58.0,5.0
86,ABEBE Mekides,Ethiopia,Athletics,,,,,969,1072,2041,Ethiopia,1.0,1.0,2.0,4.0,47.0
87,ABEDINI Mojtaba,Islamic Republic of Iran,Fencing,,,,,107,108,215,Islamic Republic of Iran,3.0,2.0,2.0,7.0,33.0
88,ABEL Jennifer,Canada,Diving,,,,,72,71,143,Canada,7.0,6.0,11.0,24.0,11.0
89,ABELA Matthew,Malta,Badminton,,,,,86,87,173,,,,,,
90,ABELVIK ROED Magnus,Norway,Handball,BERGE Christian,Norway,Handball,Men,168,168,336,Norway,4.0,2.0,2.0,8.0,29.0
91,ABELVIK ROED Magnus,Norway,Handball,BREIVIK Marit,Norway,Handball,,168,168,336,Norway,4.0,2.0,2.0,8.0,29.0
92,ABELVIK ROED Magnus,Norway,Handball,HERGEIRSSON Thorir,Norway,Handball,Women,168,168,336,Norway,4.0,2.0,2.0,8.0,29.0
93,ABEYSINGHE Matthew,Sri Lanka,Swimming,,,,,361,418,779,,,,,,
94,ABIAN Pablo,Spain,Badminton,,,,,86,87,173,Spain,3.0,8.0,6.0,17.0,17.0
95,ABICHA Mohammed,Morocco,Beach Volleyball,,,,,48,48,96,Morocco,1.0,0.0,0.0,1.0,77.0
96,ABICHT Lorena,Austria,Sailing,,,,,175,175,350,Austria,1.0,1.0,5.0,7.0,33.0
97,ABIDINE Abidine,Mauritania,Athletics,,,,,969,1072,2041,,,,,,
98,ABLIAZIN Denis,ROC,Artistic Gymnastics,,,,,98,98,196,ROC,20.0,28.0,23.0,71.0,3.0
99,ABOUD Hadel,Libya,Athletics,,,,,969,1072,2041,,,,,,
100,ABOUELKASSEM Alaaeldin,Egypt,Fencing,,,,,107,108,215,Egypt,1.0,1.0,4.0,6.0,39.0
101,ABOUKE Nancy Genzel,Nauru,Weightlifting,,,,,98,99,197,,,,,,
102,ABRAHAM Tadesse,Switzerland,Athletics,,,,,969,1072,2041,Switzerland,3.0,4.0,6.0,13.0,20.0
103,ABRAHAMS Rusten John,South Africa,Hockey,EWING Gareth,South Africa,Hockey,Men,192,192,384,South Africa,1.0,2.0,0.0,3.0,60.0
104,ABRAHAMS Rusten John,South Africa,Hockey,McCRORIE Christy,South Africa,Hockey,,192,192,384,South Africa,1.0,2.0,0.0,3.0,60.0
105,ABRAHAMS Rusten John,South Africa,Hockey,NAIDOO Taren,South Africa,Hockey,Women,192,192,384,South Africa,1.0,2.0,0.0,3.0,60.0
106,ABRAHAMS Rusten John,South Africa,Hockey,van GINKEL Robin,South Africa,Hockey,Women,192,192,384,South Africa,1.0,2.0,0.0,3.0,60.0
107,ABRAHAMS Rusten John,South Africa,Hockey,ZONDI Nkuliso,South Africa,Hockey,Women,192,192,384,South Africa,1.0,2.0,0.0,3.0,60.0
108,ABRAMS Aliyah,Guyana,Athletics,,,,,969,1072,2041,,,,,,
109,ABRAMS Jasmine,Guyana,Athletics,,,,,969,1072,2041,,,,,,
110,ABRAMYAN Benik,Georgia,Athletics,,,,,969,1072,2041,Georgia,2.0,5.0,1.0,8.0,29.0
111,ABREU Diogo,Portugal,Trampoline Gymnastics,,,,,16,16,32,Portugal,1.0,1.0,2.0,4.0,47.0
112,ABRINES REDONDO Alejandro,Spain,Basketball,ALLER CARBALLO Manuel Angel,Spain,Basketball,,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
113,ABRINES REDONDO Alejandro,Spain,Basketball,DIAZ FERNANDEZ Jenaro Manuel,Spain,Basketball,,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
114,ABRINES REDONDO Alejandro,Spain,Basketball,GONZALEZ JARENO Angel,Spain,Basketball,,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
115,ABRINES REDONDO Alejandro,Spain,Basketball,HERNANDEZ FRAILE Jose Ignacio,Spain,Basketball,,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
116,ABRINES REDONDO Alejandro,Spain,Basketball,LAZARO CORRAL Jesus,Spain,Basketball,,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
117,ABRINES REDONDO Alejandro,Spain,Basketball,MIRET GARCIA Daniel,Spain,Basketball,,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
118,ABRINES REDONDO Alejandro,Spain,Basketball,MONDELO GARCIA Lucas,Spain,Basketball,Women,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
119,ABRINES REDONDO Alejandro,Spain,Basketball,PRADO BRANAS Joaquin,Spain,Basketball,,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
120,ABRINES REDONDO Alejandro,Spain,Basketball,SCARIOLO Sergio,Spain,Basketball,Men,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
121,ABRINES REDONDO Alejandro,Spain,Basketball,ZAMORA PEDREIRA Javier,Spain,Basketball,,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
122,ABROSIMOV Kirill,ROC,Marathon Swimming,,,,,25,25,50,ROC,20.0,28.0,23.0,71.0,3.0
123,ABU RABEE Asma,Jordan,Shooting,,,,,178,178,356,Jordan,0.0,1.0,1.0,2.0,66.0
124,ABU RMILAH Wesam,Palestine,Judo,,,,,192,201,393,,,,,,
125,ABUAKU Joshua,Germany,Athletics,,,,,969,1072,2041,Germany,10.0,11.0,16.0,37.0,8.0
126,ABUJBARA Tala,Qatar,Rowing,,,,,257,265,522,Qatar,2.0,0.0,1.0,3.0,60.0
127,ACERENZA Domenico,Italy,Swimming,,,,,361,418,779,Italy,10.0,10.0,20.0,40.0,7.0
128,ACETI Vladimir,Italy,Athletics,,,,,969,1072,2041,Italy,10.0,10.0,20.0,40.0,7.0
129,ACHAB Jaouad,Belgium,Taekwondo,,,,,65,65,130,Belgium,3.0,1.0,3.0,7.0,33.0
130,ACHANTA Kamal,India,Table Tennis,,,,,86,86,172,India,1.0,2.0,4.0,7.0,33.0
131,ACHILLEOS Georgios,Cyprus,Shooting,,,,,178,178,356,,,,,,
132,ACHIUWA Precious,Nigeria,Basketball,BOLTON Alice,Nigeria,Basketball,,144,144,288,Nigeria,0.0,1.0,1.0,2.0,66.0
133,ACHIUWA Precious,Nigeria,Basketball,BROWN Michael,Nigeria,Basketball,Men,144,144,288,Nigeria,0.0,1.0,1.0,2.0,66.0
134,ACHIUWA Precious,Nigeria,Basketball,HAM Darvin de,Nigeria,Basketball,,144,144,288,Nigeria,0.0,1.0,1.0,2.0,66.0
135,ACHIUWA Precious,Nigeria,Basketball,HUGHLEY JR Otis,Nigeria,Basketball,Women,144,144,288,Nigeria,0.0,1.0,1.0,2.0,66.0
136,ACHIUWA Precious,Nigeria,Basketball,LOUCKS Luke,Nigeria,Basketball,,144,144,288,Nigeria,0.0,1.0,1.0,2.0,66.0
137,ACHIUWA Precious,Nigeria,Basketball,MEDINA Bobby,Nigeria,Basketball,,144,144,288,Nigeria,0.0,1.0,1.0,2.0,66.0
138,ACHIUWA Precious,Nigeria,Basketball,MOHAMMED Silifat,Nigeria,Basketball,,144,144,288,Nigeria,0.0,1.0,1.0,2.0,66.0
139,ACHIUWA Precious,Nigeria,Basketball,ODAUDU Ogoh,Nigeria,Basketball,,144,144,288,Nigeria,0.0,1.0,1.0,2.0,66.0
140,ACHIUWA Precious,Nigeria,Basketball,SCHILLING April,Nigeria,Basketball,,144,144,288,Nigeria,0.0,1.0,1.0,2.0,66.0
141,ACHONWA Natalie,Canada,Basketball,THOMAIDIS Lisa,Canada,Basketball,Women,144,144,288,Canada,7.0,6.0,11.0,24.0,11.0
142,ACHOURI Haikel,Tunisia,Wrestling,,,,,96,193,289,Tunisia,1.0,1.0,0.0,2.0,66.0
143,ACKERMANN Simone,South Africa,Triathlon,,,,,55,55,110,South Africa,1.0,2.0,0.0,3.0,60.0
144,ACOSTA Briseida,Mexico,Taekwondo,,,,,65,65,130,Mexico,0.0,0.0,4.0,4.0,47.0
145,ACOSTA FERNANDEZ Yasmani,Chile,Wrestling,,,,,96,193,289,,,,,,
146,ACOSTA GIRALDO Valentina,Colombia,Archery,,,,,64,64,128,Colombia,0.0,4.0,1.0,5.0,42.0
147,ACOSTA Marcelo,El Salvador,Swimming,,,,,361,418,779,,,,,,
148,ACUNA Yenny,Chile,Football,CASTRO Alex,Chile,Football,,264,344,608,,,,,,
149,ACUNA Yenny,Chile,Football,DAZA Fabian,Chile,Football,,264,344,608,,,,,,
150,ACUNA Yenny,Chile,Football,LETELIER Jose,Chile,Football,Women,264,344,608,,,,,,
151,ACUNA Yenny,Chile,Football,MARINELLI Fernando,Chile,Football,,264,344,608,,,,,,
152,ACUNA Yenny,Chile,Football,TAGLE German,Chile,Football,,264,344,608,,,,,,
153,ACUNA Yenny,Chile,Football,WIRTH Oscar,Chile,Football,,264,344,608,,,,,,
154,ADACHI Kazuya,Japan,Canoe Slalom,,,,,41,41,82,Japan,27.0,14.0,17.0,58.0,5.0
155,ADACHI Seiya,Japan,Water Polo,MOTOMIYA Makihiro,Japan,Water Polo,Women,122,146,268,Japan,27.0,14.0,17.0,58.0,5.0
156,ADACHI Seiya,Japan,Water Polo,OMOTO Yoji,Japan,Water Polo,Men,122,146,268,Japan,27.0,14.0,17.0,58.0,5.0
157,ADAM Amal,Egypt,Archery,,,,,64,64,128,Egypt,1.0,1.0,4.0,6.0,39.0
158,ADAM Constantin,Romania,Rowing,,,,,257,265,522,Romania,1.0,3.0,0.0,4.0,47.0
159,ADAMEK Klaudia,Poland,Athletics,,,,,969,1072,2041,Poland,4.0,5.0,5.0,14.0,19.0
160,ADAMKIEWICZ Patrycja,Poland,Taekwondo,,,,,65,65,130,Poland,4.0,5.0,5.0,14.0,19.0
161,ADAMS Liam,Australia,Athletics,,,,,969,1072,2041,Australia,17.0,7.0,22.0,46.0,6.0
162,ADAMS Paul,Australia,Shooting,,,,,178,178,356,Australia,17.0,7.0,22.0,46.0,6.0
163,ADAMS Taeyanna,Federated States of Micronesia,Swimming,,,,,361,418,779,,,,,,
164,ADAMUS Bartlomiej Stejan,Poland,Weightlifting,,,,,98,99,197,Poland,4.0,5.0,5.0,14.0,19.0
165,ADAO de SA Mateus Daniel,Brazil,Athletics,,,,,969,1072,2041,Brazil,7.0,6.0,8.0,21.0,12.0
166,ADAR Yasemin,Turkey,Wrestling,,,,,96,193,289,Turkey,2.0,2.0,9.0,13.0,20.0
167,ADEBAYO Edrice Femi,United States of America,Basketball,ENGELLAND Chip,United States of America,Basketball,,144,144,288,United States of America,39.0,41.0,33.0,113.0,1.0
168,ADEBAYO Edrice Femi,United States of America,Basketball,HARDY William,United States of America,Basketball,,144,144,288,United States of America,39.0,41.0,33.0,113.0,1.0
169,ADEBAYO Edrice Femi,United States of America,Basketball,HUGHES Daniel,United States of America,Basketball,,144,144,288,United States of America,39.0,41.0,33.0,113.0,1.0
170,ADEBAYO Edrice Femi,United States of America,Basketball,JOHNSON Vickie,United States of America,Basketball,,144,144,288,United States of America,39.0,41.0,33.0,113.0,1.0
171,ADEBAYO Edrice Femi,United States of America,Basketball,POPOVICH Gregg,United States of America,Basketball,Men,144,144,288,United States of America,39.0,41.0,33.0,113.0,1.0
172,ADEBAYO Edrice Femi,United States of America,Basketball,STALEY Dawn,United States of America,Basketball,Women,144,144,288,United States of America,39.0,41.0,33.0,113.0,1.0
173,ADEBAYO Edrice Femi,United States of America,Basketball,UDOKA Ime,United States of America,Basketball,,144,144,288,United States of America,39.0,41.0,33.0,113.0,1.0
174,ADEBAYO Edrice Femi,United States of America,Basketball,van GUNDY Jeff,United States of America,Basketball,,144,144,288,United States of America,39.0,41.0,33.0,113.0,1.0
175,ADEBAYO Edrice Femi,United States of America,Basketball,WRIGHT Jerold,United States of America,Basketball,,144,144,288,United States of America,39.0,41.0,33.0,113.0,1.0
176,ADEGOKE Enoch,Nigeria,Athletics,,,,,969,1072,2041,Nigeria,0.0,1.0,1.0,2.0,66.0
177,ADEKUOROYE Odunayo Folasade,Nigeria,Wrestling,,,,,96,193,289,Nigeria,0.0,1.0,1.0,2.0,66.0
178,ADEL Ibrahim,Egypt,Football,ABDELMAGID Wael,Egypt,Football,,264,344,608,Egypt,1.0,1.0,4.0,6.0,39.0
179,ADEL Ibrahim,Egypt,Football,ALY Kamal,Egypt,Football,,264,344,608,Egypt,1.0,1.0,4.0,6.0,39.0
180,ADEL Ibrahim,Egypt,Football,SALAM Mohamed,Egypt,Football,,264,344,608,Egypt,1.0,1.0,4.0,6.0,39.0
181,ADEL Ibrahim,Egypt,Football,SHAWKY Gharib,Egypt,Football,Men,264,344,608,Egypt,1.0,1.0,4.0,6.0,39.0
182,ADEL Ibrahim,Egypt,Football,SIAM Zaghloul,Egypt,Football,,264,344,608,Egypt,1.0,1.0,4.0,6.0,39.0
183,ADENIYI Aminat Oluwafunmilayo,Nigeria,Wrestling,,,,,96,193,289,Nigeria,0.0,1.0,1.0,2.0,66.0
184,ADESOKAN Dorcas Ajoke,Nigeria,Badminton,,,,,86,87,173,Nigeria,0.0,1.0,1.0,2.0,66.0
185,ADILKHANOVA Alina,Kazakhstan,Rhythmic Gymnastics,,,,,96,0,96,Kazakhstan,0.0,0.0,8.0,8.0,29.0
186,ADLERTEG Jonna,Sweden,Artistic Gymnastics,,,,,98,98,196,Sweden,3.0,6.0,0.0,9.0,26.0
187,ADLINGTON Sarah,Great Britain,Judo,,,,,192,201,393,Great Britain,22.0,21.0,22.0,65.0,4.0
188,ADO Pauline,France,Surfing,,,,,20,20,40,France,10.0,12.0,11.0,33.0,10.0
189,ADOLF Balazs,Hungary,Canoe Sprint,,,,,123,126,249,Hungary,6.0,7.0,7.0,20.0,13.0
190,ADOMAVICIUS Aurimas,Lithuania,Rowing,,,,,257,265,522,Lithuania,0.0,1.0,0.0,1.0,77.0
191,AEDO Yanara,Chile,Football,CASTRO Alex,Chile,Football,,264,344,608,,,,,,
192,AEDO Yanara,Chile,Football,DAZA Fabian,Chile,Football,,264,344,608,,,,,,
193,AEDO Yanara,Chile,Football,LETELIER Jose,Chile,Football,Women,264,344,608,,,,,,
194,AEDO Yanara,Chile,Football,MARINELLI Fernando,Chile,Football,,264,344,608,,,,,,
195,AEDO Yanara,Chile,Football,TAGLE German,Chile,Football,,264,344,608,,,,,,
196,AEDO Yanara,Chile,Football,WIRTH Oscar,Chile,Football,,264,344,608,,,,,,
197,AERNOUDTS Violaine,France,Rowing,,,,,257,265,522,France,10.0,12.0,11.0,33.0,10.0
198,AFANADOR Brian,Puerto Rico,Table Tennis,,,,,86,86,172,Puerto Rico,1.0,0.0,0.0,1.0,77.0
199,AFONSO Paixao,Angola,Sailing,,,,,175,175,350,,,,,,
200,AFOUMBA Gilles Anthony,Congo,Athletics,,,,,969,1072,2041,,,,,,
201,AFREMOVA Natalia,ROC,Cycling BMX Racing,,,,,24,24,48,ROC,20.0,28.0,23.0,71.0,3.0
202,AFRIAT Charlotte,Monaco,Athletics,,,,,969,1072,2041,,,,,,
203,AGADA Caleb,Nigeria,Basketball,BOLTON Alice,Nigeria,Basketball,,144,144,288,Nigeria,0.0,1.0,1.0,2.0,66.0
